FIPS,County,LaborForce, Employed, Unemployed,UnemploymentRate,MedianIncome,MedianIncomePercent,AnnualIncome,TotalVotes,TotalVotes_Democratic,TotalVotes_Republican,TotalVotes_Libertarian,VoterTurnout_BlackFemale,VoterTurnout_BlackMale,VoterTurnout_WhiteFemale,VoterTurnout_WhiteMale,VoterTurnout_Asian,VoterTurnout_Hispanic,VoterTurnout_OtherRace,Male,Female,Not_HS_Graduate,HS_Graduate,Some_College,College_Graduate
13293,Upson  ,11038,10328,710,6.4,40965,69.9,36653,12905,32.55,66.7,0.37,15.07,9.26,37.19,31.98,0.31,0.41,5.79,13807,12510,13.35,38.4,30.53,22.5
13295,Walker  ,30184,28991,1193,4,43767,74.6,34078,29354,19.65,78.95,0.59,1.67,1.13,46.77,40.55,0.33,0.5,9.06,35344,34390,16.62,35.23,30.12,13.4
13297,Walton  ,43838,41708,2130,4.9,65416,111.6,42406,51095,24.82,74.06,0.46,7.71,5.03,39.67,34.8,0.69,1.52,10.58,49277,47058,21.73,36.02,29.14,16.6
13299,Ware  ,14765,14008,757,5.1,38357,65.4,34915,14192,29.67,69.51,0.37,13.79,7.67,39.41,33.09,0.51,0.8,4.73,17676,17776,15.16,39.22,27.02,21.7
13301,Warren  ,2705,2554,151,5.6,38352,65.4,36427,2651,55.41,43.98,0.34,32.19,18.81,23.71,21.26,0.23,0.34,3.47,2717,2470,12.34,39.75,21.11,15.2
13303,Washington  ,6502,6059,443,6.8,39444,67.3,36321,9459,50.01,49.3,0.29,28.56,16.45,27.2,23.98,0.16,0.39,3.27,9848,10423,12.35,44.66,24.27,12.3
13305,Wayne  ,10595,10028,567,5.4,44607,76.1,32633,12778,21.03,78.16,0.41,8.68,4.84,42.47,36.75,0.41,0.92,5.93,14610,15378,12.96,41.97,28.45,12.3
13307,Webster  ,986,932,54,5.5,38187,65.1,34700,1390,45.97,53.81,0.07,24.38,17.89,28.94,25.45,0.14,0.5,2.71,1293,1289,14.66,40.67,23.93,13
13309,Wheeler  ,1501,1408,93,6.2,32691,55.8,19472,2285,30.15,69.28,0.31,14.75,10.52,36.19,34.53,0.04,0.79,3.19,2735,5045,13.55,50.5,16.8,14.7
13311,White  ,16096,15572,524,3.3,51579,88,35238,14816,16.27,82.49,0.51,0.53,0.36,48.67,43.92,0.34,0.81,5.37,15846,15092,22.75,30.92,31.54,13.6
13313,Whitfield  ,40989,38955,2034,5,47074,80.3,39927,36746,29.04,69.77,0.44,2.02,1.46,40.37,34.44,0.96,12.76,8,52395,52249,15.72,29.44,24.31,22.7
13315,Wilcox  ,2593,2435,158,6.1,35961,61.3,29334,3281,26.27,73.24,0.18,14.66,8.38,38.86,35.15,0.24,0.73,1.97,3426,5152,12.17,45.55,24.4,15.7
13317,Wilkes  ,3728,3498,230,6.2,39361,67.1,42644,5029,42.95,56.13,0.4,21.48,12.92,31.53,29,0.5,0.44,4.14,5002,4665,13.77,44,25.92,12.2
13319,Wilkinson  ,3898,3724,174,4.5,41036,70,37011,4770,43.5,55.85,0.21,23.62,14.7,30.13,27.97,0.17,0.21,3.2,4590,4275,10.85,50.3,23.28,13.8
13321,Worth  ,8252,7849,403,4.9,48708,83.1,36974,9285,25.79,73.56,0.3,13.12,8.06,38.53,36.03,0.21,0.44,3.6,10428,9686,10.98,42.69,29.21,10.9
