FIPS,County,Labor Force, Employed, Unemployed,Unemployment Rate,Median Household Income,Med HH Income Percent of State Total,Annual Income,Votes Cast for President,"Votes Cast for President, Democratic Party, Percent","Votes Cast for President, Republican Party, Percent","Votes Cast for President, Libertarian Party, Percent",Voting History,"Voter Turnout, Black Female, Percent","Voter Turnout, Black Male, Percent","Voter Turnout, White Female, Percent","Voter Turnout, White Male, Percent","Voter Turnout, Asian, Percent","Voter Turnout, Hispanic, Percent","Voter Turnout, Other Race, Percent",Male Population,Female Population
13197,Marion County ,3043,2901,142,4.7,39114,66.70,29849,6696,39.01,59.98,0.28,6708,16.46,11.39,34.33,32.36,0.27,0.51,4.68,"7,490","7,095"
13199,Meriwether County ,8670,7958,712,8.2,38886,66.30,36050,10877,39.41,59.98,0.22,10927,20.23,11.99,32.04,29.42,0.26,0.51,5.56,"10,910","10,123"
13201,Miller County ,2572,2470,102,4.0,42483,72.50,48011,2835,26.42,72.87,0.39,2850,13.75,7.61,40.46,35.54,0.14,0.46,2.04,"2,925","2,715"
13205,Mitchell County ,8026,7490,536,6.7,36788,62.70,37608,8963,44.57,55.06,0.08,9008,25.07,13.83,29.62,26.13,0.44,0.69,4.22,"10,429","11,266"
13207,Monroe County ,12284,11721,563,4.6,59362,101.20,46563,15592,28.12,70.93,0.44,15655,10.50,7.10,39.17,36.03,0.63,0.61,5.97,"13,903","13,805"
13209,Montgomery County ,3657,3472,185,5.1,41834,71.30,31037,3966,24.68,74.63,0.30,3943,11.72,8.19,40.22,35.35,0.15,1.17,3.20,"4,500","4,704"
13211,Morgan County ,8794,8367,427,4.9,57978,98.90,51677,11707,28.66,70.30,0.45,11754,9.90,6.04,41.65,37.44,0.39,0.74,3.83,"10,006","9,291"
13213,Murray County ,14564,13756,808,5.5,46810,79.80,30964,15389,14.96,84.11,0.47,15443,0.19,0.19,46.80,42.26,0.19,4.40,5.95,"20,452","19,868"
13215,Muscogee County ,73540,67818,5722,7.8,46628,79.50,45352,80543,61.49,37.31,0.49,81263,27.90,16.48,24.36,19.78,1.73,2.59,7.16,"99,262","94,810"
13217,Newton County ,50483,46930,3553,7.0,56598,96.50,34696,54239,54.93,44.01,0.24,54539,27.55,16.51,24.98,21.62,0.54,1.68,7.11,"59,824","53,429"
